CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1984,KATETE RIVER,Coho,1984,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,313,NA,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1985,KATETE RIVER,Coho,1985,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,1217,NA,NA,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1988,KATETE RIVER,Coho,1988,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,227,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1989,KATETE RIVER,Coho,1989,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,896,NA,NA,896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1990,KATETE RIVER,Coho,1990,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,548,NA,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1991,KATETE RIVER,Coho,1991,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,878,NA,NA,878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1992,KATETE RIVER,Coho,1992,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,1346,NA,NA,1346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1994,KATETE RIVER,Coho,1994,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,652,NA,NA,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1995,KATETE RIVER,Coho,1995,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,208,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1996,KATETE RIVER,Coho,1996,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,232,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1997,KATETE RIVER,Coho,1997,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 1998,KATETE RIVER,Coho,1998,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,63,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,West Katete River (Stikine) Coho 1994,KATETE RIVER,Coho,1994,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,44651,28,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,UNK
